,ch1,ch2,ch3,ch4
257,7.52,8.71,1.64,-1.22
258,2.33,2.5,-2.84,-8.18
259,-9.09,-3.36,-12.87,-8.31
260,-2.56,2.82,-6.33,0.66
261,11.05,8.8,6.63,8.11
262,7.5,7.19,5.6,15.73
263,1.05,5.77,0.35,21.9
264,1.4,1.93,0.53,11.96
265,-2.9,-4.41,-0.75,-7.8
266,-4.99,-3.74,-2.79,-12.38
267,3.45,1.86,-0.44,1.84
268,7.57,3.78,-0.98,10.36
269,-1.38,1.63,-5.99,0.78
270,-6.83,2.45,-2.77,-4.88
271,-1.1,5.82,4.84,1.58
272,2.8,5.3,6.76,1.09
273,2.38,2.03,8.73,-4.39
274,2.3,-2.31,8.26,-3.02
275,-0.78,-9.52,-0.52,-5.81
276,-8.42,-14.48,-9.17,-16.59
277,-10.9,-7.25,-5.01,-15.02
278,-3.45,4.32,6.42,-2.83
279,1.32,5.44,6.92,1.94
280,-1.88,-0.28,-2.19,0.56
281,-6.18,-4.64,-9.36,-6.53
282,-5.95,-4.85,-9.35,-13.29
283,-0.33,-1.12,-2.79,-9.21
284,3.48,-0.28,1.11,-2.54
285,2.3,-3.64,-0.19,6.38
286,-4.36,-6.5,-3.76,6.09
287,-11.41,-6.5,-5.57,-6.46
288,-8.77,-3.57,-1.15,-3.33
289,-2.48,-2.59,3.22,8.55
290,2.49,-1.01,3.55,9.55
291,6.59,3.47,1.97,-0.75
292,6.24,4.39,0.02,-8.04
293,4.24,1.8,-1.13,3.25
294,4.58,2.7,0.78,15.69
295,5.77,8.12,7.18,13.08
296,3.61,7.4,7.71,3.32
297,-0.43,0.64,0.3,-1.53
298,-3.66,-3.29,-2.83,0.42
299,-5.37,-4.77,-1.9,-1.27
300,-0.61,-3.25,1.21,-0.82
301,6.1,0.45,6.38,5.07
302,5.41,0.48,5.86,3.88
303,-0.54,-5.28,-2.65,-5.69
304,-5.94,-10.02,-10.77,-12.78
305,-5.15,-6.92,-9.04,-6.73
306,1.23,-0.51,-2.33,6.14
307,2.2,0.72,-0.73,8.73
308,-2.73,-0.83,-1.7,-1.23
309,-4.4,-0.94,-2.59,-7.54
310,-3.61,-2.36,-3.8,-4.97
311,-5.02,-4.08,-4.97,-5.6
312,-5.41,-1.73,-4.99,-8.71
313,-0.67,4.46,0.08,-7.69
314,-0.09,4.51,1.79,-9.39
315,-2.93,-1.28,-2.68,-10.0
316,-0.24,-1.96,-2.77,-4.25
317,5.32,1.4,2.41,2.66
318,10.12,4.56,7.42,10.98
319,8.25,5.54,5.29,16.18
320,5.59,5.37,2.77,15.96
321,7.75,5.66,6.33,9.22
322,6.36,3.53,7.27,0.8
323,3.24,-0.41,5.27,1.93
324,1.77,-2.34,4.18,4.92
325,-0.8,-0.6,3.35,0.77
326,-2.24,1.28,1.05,-3.22
327,-0.61,0.01,-0.04,0.5
328,3.21,0.51,3.18,10.35
329,4.09,2.11,3.32,9.64
330,-0.32,-0.22,-2.8,-5.99
331,-2.4,-1.11,-4.79,-13.83
332,-1.35,1.72,0.64,-11.5
333,-4.46,2.69,2.29,-9.7
334,-9.15,-0.42,-4.14,-3.17
335,-5.56,-2.05,-7.22,5.55
336,1.41,-1.0,-4.31,0.98
337,2.74,-0.19,-1.86,-7.2
338,2.69,1.3,-0.02,-3.25
339,-0.11,-1.19,0.47,-1.48
340,-5.79,-4.76,-0.31,-5.05
341,-4.67,-3.53,-0.51,-0.71
342,3.81,0.1,2.85,8.41
343,9.13,3.47,7.81,11.27
344,2.6,2.2,3.16,4.05
345,-4.49,-0.41,-4.62,-4.78
346,-3.13,-0.88,-3.92,-4.58
347,-5.14,-3.0,-4.11,1.69
348,-7.53,-4.44,-5.94,5.11
349,-1.12,-1.78,-3.31,3.97
350,2.71,1.83,-1.07,2.4
351,-1.52,2.48,-0.88,4.06
352,-1.23,2.37,1.24,9.1
353,2.55,0.81,2.35,4.45
354,-5.57,-5.27,-1.23,-16.33
355,-20.86,-12.47,-5.18,-35.03
356,-19.55,-11.31,-5.22,-31.71
357,1.41,0.78,1.26,-9.18
358,19.19,9.37,8.9,13.66
359,23.21,12.47,11.92,25.4
360,19.42,15.6,9.96,23.12
361,14.19,11.34,0.01,20.14
362,14.41,4.62,-4.04,26.34
363,13.43,2.5,5.38,23.17
364,4.4,2.98,7.85,5.51
365,3.22,8.59,2.77,-3.34
366,5.27,8.65,-1.57,-3.3
367,-6.86,-2.52,-8.57,-13.36
368,-16.21,-7.85,-10.45,-22.71
369,-12.25,-6.88,-7.55,-21.36
370,-8.53,-9.02,-8.99,-17.3
371,-7.53,-10.14,-7.51,-11.06
372,-5.47,-8.52,-0.05,-8.11
373,-1.92,-4.19,3.73,-6.93
374,3.26,3.46,3.85,-0.19
375,8.02,9.38,3.32,9.83
376,5.27,5.25,-0.32,11.06
377,-9.71,-7.68,-6.22,-1.79
378,-20.17,-14.91,-8.68,-7.2
379,-14.9,-12.48,-5.75,-1.9
380,-5.8,-5.92,-0.84,-0.37
381,3.69,3.34,5.86,-1.27
382,14.39,9.85,13.06,3.73
383,19.09,10.21,13.34,14.37
384,10.99,6.82,5.13,11.55
385,-0.91,2.16,2.25,1.39
386,-5.35,-2.62,4.18,0.63
387,-5.28,-4.49,-0.23,-1.81
388,-1.24,-0.39,-1.97,-6.22
389,1.72,0.53,-3.38,-4.53
390,-0.84,-2.41,-6.76,-1.83
391,-5.82,-2.61,-3.32,-7.33
392,-7.89,-3.28,3.28,-11.77
393,-4.87,-5.21,5.25,-5.5
394,-4.1,-6.52,-1.71,1.8
395,-1.2,-4.31,-4.57,8.56
396,0.96,-5.12,-3.33,10.39
397,-5.18,-9.44,-10.13,6.21
398,-1.84,-6.29,-11.49,8.99
399,4.57,-5.53,-3.97,9.17
